origin-time-utc,mag,mag-type,latitude,longitude,depth(km),region,a/m,time-updated,kml
13/02/2023 10:41,3.3,MLv,37.4945° N,37.2382° E,0,Pazarcik-Kahramanmaras,A,13/02/2023 10:44,Stations Event
13/02/2023 9:59,3.6,MLv,38.0612° N,36.7905° E,0,Goksun-Kahramanmaras,A,13/02/2023 10:04,Stations Event
13/02/2023 9:55,3.9,MLv,38.1766° N,38.5062° E,0,Merkez-Malatya,A,13/02/2023 9:59,Stations Event
13/02/2023 9:43,3,MLv,38.0228° N,36.6330° E,0,Goksun-Kahramanmaras,A,13/02/2023 9:47,Stations Event
13/02/2023 9:23,3.8,MLv,38.0338° N,37.4350° E,0,Nurhak-Kahramanmaras,A,13/02/2023 9:27,Stations Event
13/02/2023 9:18,5.8,Mwp,29.4200° S,179.0305° W,342,Kermadec Islands Region,A,13/02/2023 10:17,Stations Event
13/02/2023 9:16,3.7,MLv,37.4844° N,37.0029° E,3,Merkez-Kahramanmaras,A,13/02/2023 9:20,Stations Event
13/02/2023 9:10,3.4,MLv,37.4881° N,37.0230° E,0,Merkez-Kahramanmaras,A,13/02/2023 9:15,Stations Event
13/02/2023 8:01,3.4,MLv,40.8334° N,31.0007° E,2,Golyaka-Duzce,A,13/02/2023 8:05,Stations Event
13/02/2023 8:01,3.6,MLv,38.0823° N,37.4744° E,0,Nurhak-Kahramanmaras,A,13/02/2023 8:04,Stations Event
13/02/2023 7:58,3.4,MLv,38.0484° N,36.5579° E,0,Goksun-Kahramanmaras,A,13/02/2023 8:01,Stations Event
13/02/2023 7:52,2.8,MLv,37.8680° N,36.7145° E,3,Merkez-Kahramanmaras,A,13/02/2023 7:56,Stations Event
13/02/2023 7:18,3.7,MLv,37.5238° N,37.0917° E,4,Merkez-Kahramanmaras,A,13/02/2023 7:22,Stations Event
13/02/2023 6:34,3.3,MLv,38.0658° N,37.6154° E,0,Elbistan-Kahramanmaras,A,13/02/2023 6:37,Stations Event
13/02/2023 6:16,3.4,MLv,37.9971° N,37.4716° E,0,Nurhak-Kahramanmaras,A,13/02/2023 6:20,Stations Event
13/02/2023 5:56,5.5,mb,46.6693° N,151.7709° E,10,Kuril Islands,A,13/02/2023 7:44,Stations Event
